location,latitude,longitude,forecast_issue_time,target_time,forecast_time_hours,start_step_hours,end_step_hours,control_forecast,ensemble_mean,ensemble_median,ensemble_min,ensemble_max,ensemble_spread,observed_rainfall_mm,control_error,ensemble_mean_error,absolute_control_error,absolute_ensemble_mean_error
Chennai,13.0827,80.2707,2000-01-30,2000-02-08 21:00:00,234,234,237,0.0,0.0,0.0,0.0,0.0,0.0,0.0052452087402343,-0.0052452087402343,-0.0052452087402343,0.0052452087402343,0.0052452087402343
Chennai,13.0827,80.2707,2000-02-06,2000-02-06 03:00:00,0,0,3,0.12,0.12,0.12,0.12,0.12,0.0,0.0548362731933593,0.0651637268066407,0.0651637268066407,0.0651637268066407,0.0651637268066407
Chennai,13.0827,80.2707,2000-02-06,2000-02-06 09:00:00,6,6,9,0.15,0.1,0.1,0.0,0.2,0.2,1.0352134704589844,-0.8852134704589844,-0.9352134704589844,0.8852134704589844,0.9352134704589844
Chennai,13.0827,80.2707,2000-02-06,2000-02-06 15:00:00,12,12,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chennai,13.0827,80.2707,2000-02-06,2000-02-06 21:00:00,18,18,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0033378601074218,-0.0033378601074218,-0.0033378601074218,0.0033378601074218,0.0033378601074218
Chennai,13.0827,80.2707,2000-02-06,2000-02-07 03:00:00,24,24,27,0.01,0.226,0.01,0.0,1.1,1.1,0.0748634338378906,-0.0648634338378906,0.1511365661621094,0.0648634338378906,0.1511365661621094
Chennai,13.0827,80.2707,2000-02-06,2000-02-07 09:00:00,30,30,33,0.07,0.12,0.07,0.0,0.39,0.39,0.0286102294921875,0.04138977050781251,0.0913897705078125,0.04138977050781251,0.0913897705078125
Chennai,13.0827,80.2707,2000-02-06,2000-02-07 15:00:00,36,36,39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chennai,13.0827,80.2707,2000-02-06,2000-02-07 21:00:00,42,42,45,0.0,0.0,0.0,0.0,0.0,0.0,0.02288818359375,-0.02288818359375,-0.02288818359375,0.02288818359375,0.02288818359375
Chennai,13.0827,80.2707,2000-02-06,2000-02-08 03:00:00,48,48,51,0.0,0.0,0.0,0.0,0.0,0.0,0.7238388061523438,-0.7238388061523438,-0.7238388061523438,0.7238388061523438,0.7238388061523438
Chennai,13.0827,80.2707,2000-02-06,2000-02-08 09:00:00,54,54,57,0.01,0.22,0.04,0.0,1.0,1.0,0.2121925354003906,-0.2021925354003906,0.007807464599609404,0.2021925354003906,0.007807464599609404
Chennai,13.0827,80.2707,2000-02-06,2000-02-08 15:00:00,60,60,63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chennai,13.0827,80.2707,2000-02-06,2000-02-08 21:00:00,66,66,69,0.0,0.0,0.0,0.0,0.0,0.0,0.0052452087402343,-0.0052452087402343,-0.0052452087402343,0.0052452087402343,0.0052452087402343
Chennai,13.0827,80.2707,2000-02-06,2000-02-09 03:00:00,72,72,75,0.0,0.002,0.0,0.0,0.01,0.01,0.0514984130859375,-0.0514984130859375,-0.0494984130859375,0.0514984130859375,0.0494984130859375
Chennai,13.0827,80.2707,2000-02-06,2000-02-09 09:00:00,78,78,81,0.0,0.124,0.0,0.0,0.6000000000000001,0.6000000000000001,0.0104904174804687,-0.0104904174804687,0.1135095825195313,0.0104904174804687,0.1135095825195313
